,title,date,desc,content,keywords
17,Coronavirus Briefing: What Happened Today,2020-09-29T22:07:23Z,"How close is herd immunity? Despite optimistic claims, up to 90 percent of the U.S. population is still vulnerable.","After months of persistently driving down its virus numbers, New York City is witnessing a jump in virus cases a troubling sign as the city takes some major steps toward resuming public life.
The ci… [+1547 chars]","['#virus', '#months', '#driving', '#numbers', '#New']"
18,Trump Attacks Fauci Over Coronavirus,2020-10-20T00:33:24Z,"With two weeks remaining in his re-election campaign, President Trump made the coronavirus his message and Dr. Anthony S. Fauci his foil, dismissing scientific advisers as “these idiots.”","He added, People are tired of hearing Fauci and these idiots, all these idiots who got it wrong.
Dr. Faucis cautionary words are borne out by the numbers. More than 70,450 new coronavirus cases were… [+1691 chars]","['#idiots', '#added', '#People', '#hearing', '#Fauci']"
19,Coronavirus in California: An Update on Cases,2020-10-13T12:42:09Z,Tuesday: Catch up on the Lakers’ 17th championship win. Also: An uproar over fake “official” ballot boxes distributed by Republicans.,"This is the Lakers first title with Jeanie Buss, the daughter of the teams longtime owner Jerry Buss, in charge. Rob Pelinka, the Lakers general manager, served as the longtime agent for his close fr… [+1801 chars]","['#Lakers', '#Buss', '#title', '#Jeanie', '#daughter']"
20,Where Is the Coronavirus Pandemic Headed?,2020-10-07T10:08:00Z,"The coronavirus “is not going to be over by fall,” our health reporter Donald G. McNeil Jr. says. But on vaccines and other interventions, he finds reasons for optimism.","There are a lot of ways to listen to The Daily. Heres how.
We want to hear from you. Tune in, and tell us what you think. Email us at thedaily@nytimes.com. Follow Michael Barbaro on Twitter: @mikieb… [+946 chars]","['#lot', '#ways', '#listen', '#Daily', '#Heres']"
21,The Conners Return to Confront the Coronavirus,2020-10-18T15:55:57Z,"This ABC sitcom has dealt with real-world challenges since its earliest days as “Roseanne.” In its new season, those include the pandemic and its fallout.","Gilbert said the series will not dwell on the darkest parts of the pandemic People get that on the news every day, she said but that the show, which is set in the current moment, will reflect real-wo… [+1083 chars]","['#said', '#Gilbert', '#series', '#dwell', '#parts']"
22,Coronavirus Deaths Pass One Million Worldwide,2020-09-29T00:42:32Z,"Over the past 10 months, the virus has taken more lives than H.I.V., malaria, influenza and cholera. And as it sows destruction in daily life around the globe, it is still growing quickly.","And, crucially, people are most contagious when they first show symptoms or even earlier, not days or weeks later, when they are sickest a reversal of the usual pattern with infectious diseases. That… [+1072 chars]","['#people', '#symptoms', '#days', '#weeks', '#reversal']"
23,Jets Confirm Player's Positive Coronavirus Test,2020-10-09T15:08:48Z,Sunday’s Jets game against the Cardinals could be in doubt after the N.F.L.’s outbreak spreads to another team.,"If Tennessee and Buffalo play on Tuesday, the Bills next game, against the Kansas City Chiefs, would be moved back three days from Thursday, Oct. 15.
The league had already postponed the Titans game… [+897 chars]","['#game', '#Tennessee', '#Buffalo', '#play', '#Tuesday']"
24,A Global Data Effort Probes Whether Covid Causes Diabetes,2020-10-07T11:00:00Z,Dozens of case reports have hinted that the coronavirus might trigger the onset of diabetes in people with no history of the disease.,"Take for example, three men who showed up at a hospital in the northern part of India weak, feverish, and without any history of diabetes. They all tested positive for SARS-CoV-2. And when their bloo… [+3903 chars]","['#Take', '#example', '#men', '#showed', '#hospital']"
25,One Million Lives Lost to Coronavirus,2020-10-04T14:31:34Z,Remembering the people who died from the coronavirus — through those who loved them.,"[music]
michael barbaro
From The New York Times, Im Michael Barbaro. This is The Daily.
100,000 lives. Today, we remember 100 of them.
Its Friday, May 29.
bianca giaever
Willie Levi was born in… [+21618 chars]","['#music', '#michael', '#barbaro', '#New', '#York']"
26,The Tragedy of Trump and the Coronavirus,2020-10-02T21:04:21Z,"In the drama of 2020, the president’s own coronavirus infection is one more seemingly pre-scripted twist.","Many of the people making those jokes dont believe that history really has an Author. But I do. And the aspects of our circumstances that seem ridiculously scripted to the atheist are, for religious … [+2048 chars]","['#people', '#making', '#jokes', '#believe', '#history']"
27,British Dorms on Lockdown After Coronavirus Outbreaks,2020-10-07T18:32:05Z,University quarantines are even tougher across the pond.,"British universities reopened weeks after similar outbreaks at American colleges, which swelled the U.S. case count by 3,000 a day and left several students dead.
As in the U.S., financial pressures… [+1032 chars]","['#U.S.', '#universities', '#reopened', '#weeks', '#outbreaks']"
28,"First Coronavirus Hit, Then They Got Bedbugs",2020-10-26T09:00:24Z,"Three roommates support each other through the pandemic and fumigation, and luck into a bigger apartment for the same price.","By June, things were looking up for Posey Bartol and Theresa Alexander, two actors who lost their jobs and their third roommate at the start of the pandemic. They had finally found someone to take ov… [+1137 chars]","['#June', '#things', '#looking', '#Posey', '#Bartol']"
29,Coronavirus in California: Tiers for Reopening,2020-10-09T12:46:56Z,"In the past few weeks, a number of counties have moved forward with reopening and a few have reversed course.","However, a few counties have moved backward, including Shasta, which moved back to red, and Tehama, which moved back to purple, the most restrictive tier.
How does this affect school reopenings?
To… [+1445 chars]","['#moved', '#counties', '#including', '#Shasta', '#red']"
30,"Titans, Vikings Experience NFL's First Coronavirus Outbreak",2020-09-29T17:14:43Z,The Tennessee Titans and Minnesota Vikings are the N.F.L.’s first teams to halt operations after eight members of the Titans received positive tests.,"The Titans outbreak reflects how a bundle of positive tests can jeopardize the viability of a season, as has happened in other professional leagues, though the N.F.L. did not say whether the affected… [+1837 chars]","['#Titans', '#outbreak', '#reflects', '#bundle', '#tests']"
32,YouTube Now Says It Will Remove Videos Lying About Coronavirus Vaccines,2020-10-14T23:55:00Z,"YouTube announced on Wednesday that it will now be extending current rules about lies, propaganda, and conspiracy theories about the coronavirus pandemic to include misinformation about coronavirus vaccines.Read more...","YouTube announced on Wednesday that it will now be extending current rules about lies, propaganda, and conspiracy theories about the coronavirus pandemic to include misinformation about coronavirus v… [+6014 chars]","['#coronavirus', '#YouTube', '#announced', '#Wednesday', '#extending']"
33,When senior citizens are the early adopters,2020-10-15T13:00:00Z,"Many senior living facilities use location tracking devices to monitor residents. During the coronavirus pandemic, they started to use them for COVID-19 contact tracing.","Illustration by Alex Castro / The Verge


 Digital contact tracing wasn’t up for debate in senior living facilities Steve Kasch’s mom, Julia, was always worried about losing her keys. “She wasn’t eve… [+21305 chars]","['#Illustration', '#Alex', '#Castro', '#Verge', '#contact']"
34,New Virus Cases Trend Upward in Most of the U.S.,2020-10-16T09:55:39Z,"As the country surpassed eight million total cases of the coronavirus, many states are seeing higher coronavirus caseloads than they did earlier in the pandemic.","LiveUpdated Oct. 16, 2020, 6:05 a.m. ET
Oct. 16, 2020, 6:05 a.m. ET
As the country surpassed eight million total cases of the coronavirus, many states are seeing higher coronavirus caseloads than t… [+13869 chars]","['#Oct.', '#a.m.', '#ET', '#coronavirus', '#LiveUpdated']"
35,Did the Coronavirus Plan the Vice Presidential Debate?,2020-10-07T21:10:00Z,"The vice presidential debate tonight between Mike Pence and Kamala Harris looks set to go ahead, despite Pence’s recent exposure to people who later tested positive for the novel coronavirus. Given the pitiful precautions enacted to prevent transmission of th…","The vice presidential debate tonight between Mike Pence and Kamala Harris looks set to go ahead, despite Pences recent exposure to people who later tested positive for the novel coronavirus. Given th… [+5012 chars]","['#vice', '#debate', '#tonight', '#Mike', '#Pence']"
36,White House Blocks New Coronavirus Vaccine Guidelines,2020-10-05T23:16:49Z,"The F.D.A. proposed stricter guidelines for emergency approval of a coronavirus vaccine, but the White House chief of staff objected to provisions that would push approval past Election Day.",The Food and Drug Administrations new guidelines were intended to assure companies developing vaccines that they were being held to a common standard and to reassure the public. Polls suggest that Am… [+1967 chars],"['#Food', '#Drug', '#Administrations', '#guidelines', '#intended']"
37,Coronavirus in California: New Rules For Gatherings,2020-10-19T12:51:55Z,"Monday: As we head toward the holiday season, the state has lifted its official ban on private parties. But there are still restrictions.","So we can have food and drinks?
You can have food and drinks, but nix the buffet line and punch bowl. The guidelines urge you to use single-serve containers as much as possible. And if someone has t… [+1381 chars]","['#food', '#drinks', '#nix', '#buffet', '#line']"
38,Several Pence Aides Test Positive for Coronavirus,2020-10-25T13:41:12Z,"Six states broke records as the virus surged at an alarming pace. A single case disrupts life in Kashgar, in China’s West.","LiveUpdated Oct. 25, 2020, 9:47 a.m. ET
Oct. 25, 2020, 9:47 a.m. ET
Six states broke records as the virus surged at an alarming pace. A single case disrupts life in Kashgar, in Chinas West.
Heres … [+22637 chars]","['#Oct.', '#a.m.', '#ET', '#LiveUpdated', '#states']"
39,The Tragedy of Trump and the Coronavirus,2020-10-02T21:04:21Z,"In the drama of 2020, the president’s own coronavirus infection is one more seemingly pre-scripted twist.","Many of the people making those jokes dont believe that history really has an Author. But I do. And the aspects of our circumstances that seem ridiculously scripted to the atheist are, for religious … [+2049 chars]","['#people', '#making', '#jokes', '#believe', '#history']"
40,Coronavirus: Argentina's confirmed cases surpass one million,2020-10-20T02:07:03Z,The South American nation becomes the fifth country in the world to reach the grim milestone.,"image captionThe outbreak has intensified in the past few months in Argentina - especially in the Buenos Aires province
Argentina has become the fifth country in the world to record one million conf… [+877 chars]","['#Argentina', '#image', '#captionThe', '#outbreak', '#intensified']"
45,"Why False Positives Matter, Too",2020-10-25T09:00:15Z,False negatives are not the only troublesome outcome of a faulty coronavirus test.,"The ever-increasing availability of virtual platforms might make that transition easy for some, Dr. Mazer said. But for people whose work can only be done in person, or who lack a financial buffer, t… [+2237 chars]","['#increasing', '#availability', '#platforms', '#transition', '#Dr.']"
47,Coronavirus: Europe’s tough restrictions ‘absolutely necessary’,2020-10-15T15:06:57Z,The World Health Organization's warning comes as major European cities go into red alert.,"image captionMeasures against coronavirus are being ramped up in cities across Europe
Tough restrictions are ""absolutely necessary"" to save lives, the World Health Organization (WHO) has warned as E… [+4463 chars]","['#image', '#captionMeasures', '#coronavirus', '#ramped', '#cities']"
49,Covid: Brazil's coronavirus cases pass five million,2020-10-07T22:02:25Z,"Brazil is the third worst-hit country, after the US and India, with deaths approaching 150,000.","image captionThe streets of São Paulo remain busy with shoppers
Confirmed cases of coronavirus in Brazil have passed five million, with deaths in the country approaching 150,000, officials say. 
Br… [+1444 chars]","['#image', '#captionThe', '#streets', '#São', '#Paulo']"
51,Coronavirus: Clashes in Naples over tightening restrictions,2020-10-24T07:55:09Z,"Hundreds protested in the southern Italian city, some throwing firecrackers and smoke bombs.","image captionSmoke bombs and firecrackers were thrown
Protesters in Naples opposed to stricter coronavirus measures clashed with police late into the night. 
Some threw smoke bombs and firecrackers… [+2245 chars]","['#bombs', '#firecrackers', '#image', '#captionSmoke', '#thrown']"
53,"Coronavirus Has Killed Nearly 10,000 Minks in Utah",2020-10-12T16:10:00Z,"Humans aren’t the only creatures at risk from dying of covid-19, it seems. In recent weeks, the state of Utah has been dealing with mass die-offs at mink farms that health officials believe are linked to the viral pandemic—outbreaks that likely began from con…","Humans arent the only creatures at risk from dying of covid-19, it seems. In recent weeks, the state of Utah has been dealing with mass die-offs at mink farms that health officials believe are linked… [+2192 chars]","['#Humans', '#creatures', '#risk', '#dying', '#covid-19']"
54,"With Russia's Coronavirus Vaccine, Putin Jumps Ahead of Trump",2020-10-13T09:00:08Z,"As America retreats from world affairs, Russia is promising other nations help on the pandemic.","The United States, for example, has secured advance purchase commitments for over 800 million doses of at least six candidate vaccines, all for itself. Compounding an image of selfishness, the Trump … [+2182 chars]","['#United', '#States', '#example', '#secured', '#purchase']"
55,Dating During the Coronavirus Pandemic Means Fear. Again.,2020-10-18T14:28:33Z,I never imagined I’d live to witness another viral threat.,"Others have made different adaptations, seeking companionship over intimacy. Braden Toan, another friend in his 60s, changed his dating profile in May to declare sex off limits. That being said, his … [+2079 chars]","['#Others', '#adaptations', '#seeking', '#companionship', '#intimacy']"
56,"Coronavirus, Supreme Court, Ikea: Your Wednesday Evening Briefing",2020-10-14T22:05:07Z,Here’s what you need to know at the end of the day.,"10. And finally, what does Los Angeles smell like?
Inspired by the science writer Harold McGees new book about the worlds odors and aromas, Nose Dive, our California restaurant critic used her olfac… [+603 chars]","['#Los', '#Angeles', '#smell', '#Inspired', '#science']"
57,Covid-19 Live Updates: Trump Tests Positive for the Coronavirus,2020-10-02T06:33:23Z,The president tested positive for coronavirus hours after insisting that “the end of the pandemic is in sight.” The news caused a plunge in global financial markets.,"President Trumps announcement that he had tested positive for the coronavirus caused global financial markets to plunge and set off a wave of reactions fromleaders around the world.
Futures markets … [+4633 chars]","['#markets', '#President', '#Trumps', '#announcement', '#tested']"
58,President Andrzej Duda of Poland Tests Positive for Coronavirus,2020-10-24T11:37:44Z,A spokesman said the head of state was feeling well despite a positive test result. A second political leader is also in isolation after he came in contact with an infected person.,"Mr. Duda visited the stadium on Friday and met with site managers, an encounter that has now raised concerns that the construction will have to be halted. He also met Iga Swiatek, who this month beca… [+1368 chars]","['#met', '#Mr.', '#Duda', '#visited', '#stadium']"
59,N.F.L. Punishes Titans for Their Handling of Coronavirus Outbreak,2020-10-25T13:50:51Z,"A heavy fine, but no suspensions, come after two dozen players and staff members tested positive for the virus.","Still, the fine, the largest for a violation of the protocols, came as the league tries to keep its season on track amid a spike in infections that has spread to at least four teams. The decision to … [+2104 chars]","['#fine', '#violation', '#protocols', '#came', '#league']"
60,Flying First Class Won't Keep You Safer from COVID,2020-10-09T14:00:00Z,It’s been about seven months since air travel as we knew it changed amid the novel coronavirus outbreak. Now as people are slowly starting to fly again—with even more expected to take the plunge during the holiday season—the question is how to do so in the sa…,Its been about seven months since air travel as we knew it changed amid the novel coronavirus outbreak. Now as people are slowly starting to fly againwith even more expected to take the plunge during… [+2744 chars],"['#months', '#air', '#travel', '#knew', '#changed']"
61,Coronavirus Live Updates: World Approaches One Million Deaths,2020-09-27T12:58:05Z,"The number of lives lost daily has been rising through most of August and September, and new hot spots keep emerging. The U.S., Brazil, India and Mexico account for more than half of the total.","In ultra-Orthodox areas, cars with loudspeakers blared messages from a leading rabbi, Gershon Edelstein, calling the pandemic a trial from heaven and instructing worshipers at high risk of contractin… [+1883 chars]","['#areas', '#cars', '#loudspeakers', '#blared', '#messages']"
62,"Israel’s Coronavirus Lockdown Fuels Protests, Violence and Confusion",2020-10-05T13:43:41Z,"Last month, the country became the first to reimpose nationwide measures. But the decision has led to chaotic scenes and criticism of how its fragile coalition is handling the crisis.","JERUSALEM  Fractured by internal political conflicts, confusing instructions and a lack of public trust in the government, Israel seems to be fraying further under a second national lockdown as the c… [+1092 chars]","['#JERUSALEM', '#Fractured', '#conflicts', '#instructions', '#lack']"
63,"The Coronavirus May Be Adrift in Indoor Air, CDC Acknowledges",2020-10-05T20:32:52Z,"After removing guidance from its website acknowledging “airborne” transmission, the agency cited evidence that indoor air can carry virus-laden particles.","At the time, C.D.C. officials said the document had been posted in error and had not yet been cleared through the agencys rigorous scientific review.
In both documents, the agency emphasized the ris… [+1251 chars]","['#time', '#C.D.C.', '#officials', '#said', '#document']"
64,Coronavirus Debate Safety: A New Issue Grips the 2020 Race,2020-10-07T22:27:31Z,"Despite having the coronavirus, President Trump insists he is “looking forward” to the next debate. Joe Biden’s team says the president must prove he’s not contagious.","Mr. Biden and his campaign have for months sought to make the race a referendum on Mr. Trump and, in particular, his stewardship of the virus response. Mr. Bidens team believes that the presidents co… [+2068 chars]","['#Mr.', '#Biden', '#campaign', '#months', '#sought']"
65,"White House Opposes Expanded Coronavirus Testing, Complicating Stimulus Talks",2020-10-16T22:14:56Z,Some administration officials say testing Americans with no symptoms of the coronavirus would hurt the economy and restrict civil liberties. Democrats and some prominent experts say it would slow the virus and bolster economic growth.,"No testing scheme, no test is perfect. There will always be people who go undetected, said Dr. David Dowdy, an infectious disease epidemiologist at Johns Hopkins University who has researched and wri… [+2055 chars]","['#testing', '#scheme', '#test', '#people', '#said']"
66,"Under Pence, Politics Regularly Seeped Into the Coronavirus Task Force",2020-10-08T09:00:23Z,"In taking a leading role in managing the White House’s response to the pandemic, the vice president and his team had an agenda that extended beyond public health.","The vice president admittedly was in a difficult situation; he was asked to lead a project where his boss wasnt on board, said Senator Angus King, independent of Maine, who clashed with Mr. Pence dur… [+1581 chars]","['#vice', '#president', '#situation', '#asked', '#lead']"
67,N.F.L.’s New Two-Minute Drill: Juggling a Coronavirus Outbreak,2020-10-01T18:32:49Z,A spate of infections in the Titans’ clubhouse forced the league to indefinitely postpone their game against the Steelers and gird for more consequences.,"Still, the Titans positive tests and other incidents show how difficult it is to maintain the vigilance that will be necessary to keep football on track. Raiders Coach Jon Gruden was one of those fin… [+2066 chars]","['#Titans', '#tests', '#incidents', '#maintain', '#vigilance']"
68,"With Coronavirus Cases Increasing, N.F.L. Will Test During Bye Weeks",2020-10-02T18:58:32Z,Players will be required to stay in their team’s home city during bye weeks as the league works to contain an outbreak among the Titans that has infected 13 players and staff.,"As the N.F.L. grapples with its first coronavirus outbreak of the season, it has agreed with its players union to continue daily testing indefinitely including on bye weeks.
The N.F.L. informed orga… [+738 chars]","['#N.F.L.', '#grapples', '#coronavirus', '#outbreak', '#season']"
69,Trump Mimics Coronavirus ‘Superspreader’ Event in Barrett Swearing In,2020-10-27T13:08:12Z,Amy Coney Barrett was confirmed as the next Supreme Court justice only eight days before a presidential election.,"Justice Barrett, 48, who has seven children, will be the current courts youngest member, its third woman, its sixth Catholic and its only jurist from outside the Ivy League. A graduate of Notre Dame … [+2027 chars]","['#Justice', '#Barrett', '#children', '#courts', '#member']"
70,Trump’s Positive Coronavirus Test Upends Campaign in Final Stretch,2020-10-02T08:51:23Z,"With his health and the country’s stability at risk, strategists and even senior aides to the president said he would face a harsh judgment from voters.","Some Republicans hoped his ill-fated June rally in Tulsa, Okla., when he couldnt come close to filling the arena and some of his own staff members got the virus, would serve as a wake-up call.
But w… [+1673 chars]","['#Republicans', '#hoped', '#fated', '#June', '#rally']"
71,"Zinc: It Helps With Colds, But Not Coronavirus",2020-09-28T14:25:53Z,Maybe! It may help with the common cold. There is no definitive scientific evidence suggesting it will help Covid-19.,"Zinc is the second most common trace mineral in our bodies and affects all organs and cells. It is a micronutrient needed for metabolism, our sense of taste and smell and especially key during times … [+5073 chars]","['#Zinc', '#trace', '#mineral', '#bodies', '#affects']"
72,"As Europe’s Coronavirus Cases Rise, So Do Voices Crying Hoax",2020-09-28T13:09:32Z,"As health officials warn of a second major wave, growing numbers of people are dismissing the threat as media hype and sometimes embracing conspiracy theories.","A study released in early September by Fondation Jean Jaurès, a Paris-based research institute, found that many opponents of mask-wearing believed it was useless or dangerous to their health and a to… [+1828 chars]","['#study', '#released', '#September', '#Fondation', '#Jean']"
73,Harrowing New Coronavirus Surge Rages Across America’s Heartland,2020-10-24T13:45:33Z,"The U.S. set a single-day record of 82,154 new cases on Friday, less than two weeks before Election Day. Two vaccine trials resumed after pausing for safety concerns.","LiveUpdated Oct. 24, 2020, 9:31 a.m. ET
Oct. 24, 2020, 9:31 a.m. ET
The U.S. set a single-day record of 82,154 new cases on Friday, less than two weeks before Election Day. Two vaccine trials resum… [+14587 chars]","['#Oct.', '#a.m.', '#ET', '#LiveUpdated', '#U.S.']"
74,"For Simona Halep, Deciding to Not Play Made Her Want to Return Even More",2020-10-02T18:51:38Z,"Halep, the top seed in the French Open, has only competed on clay since tennis returned from its coronavirus hiatus.","That match was perfect, she said this week.
But clay remains her most natural habitat, even if she also played often on hardcourts growing up in Romania.
In our nation, the tradition is clay, and s… [+1179 chars]","['#clay', '#match', '#said', '#week', '#remains']"
75,Judge Blocks Trump’s Ban on Foreign Workers,2020-10-02T00:42:58Z,The court overruled limits on visas for hundreds of thousands of foreign workers during the coronavirus pandemic.,"Still, it immediately sets aside the visa ban for the plaintiffs who brought the case. They include the U.S. Chamber of Commerce, the National Association of Manufacturers, the National Retail Federa… [+1530 chars]","['#National', '#sets', '#visa', '#ban', '#plaintiffs']"
76,The I.M.F. sees early signs of a global economic recovery.,2020-10-13T12:30:05Z,The world finance group warns that the crisis is “far from over” and that uncertainty over the coronavirus pandemic remains.,"The recession is hammering both advanced and emerging economies. The United States economy is expected to contract 4.3 percent this year, and the eurozone economy is projected to shrink 8.3 percent, … [+1109 chars]","['#economy', '#percent', '#recession', '#hammering', '#emerging']"
77,"With Evictions Looming, Cities Revisit a Housing Experiment From the ’70s",2020-10-01T09:00:20Z,Proposals giving tenants the right to purchase their building are being revived as the coronavirus puts renters at risk.,"But the concept behind the Moscone plan had resilience, and in 1980 it became embodied in legislation passed in the District of Columbia: the Tenant Opportunity to Purchase Act, or Topa. It gave tena… [+2421 chars]","['#concept', '#Moscone', '#plan', '#resilience', '#embodied']"
78,SUNY Oneonta President Resigns After 700 Students Test Positive for Coronavirus,2020-10-15T22:40:58Z,The State University of New York at Oneonta had the worst coronavirus outbreak of any public university in the state.,"Although the university did not directly tie Dr. Morriss resignation to its handling of the outbreak, state and local officials at a news conference on Thursday announcing the change praised the effo… [+1682 chars]","['#university', '#tie', '#Dr.', '#Morriss', '#resignation']"
79,Trump’s Diagnosis Imperils Quick Supreme Court Confirmation Timeline,2020-10-02T23:31:25Z,"With the president ill and a coronavirus outbreak engulfing Washington, Republicans vowed to press ahead with an election-season confirmation.","I think every precaution needs to be taken, because we dont anticipate any Democratic support at all, either in committee or the full Senate, and therefore, everybody needs to be in an all-hands-on-d… [+1601 chars]","['#needs', '#think', '#precaution', '#taken', '#anticipate']"
80,Now the President and Frontline Workers Have Something in Common,2020-10-03T15:00:08Z,"The difference is not all frontline workers can protect themselves on the job. The coronavirus race gap, explained.","Almost no concrete worker protections were put in place when the nation entered its tortuous lockdown phase. The Occupational Safety and Health Administrationissued some guidelines, such as mask, soc… [+3116 chars]","['#worker', '#protections', '#place', '#nation', '#entered']"
